method,dice,sensitivity,precision
gabor_c6_DTD40h90,0.2065811780184736,0.8461256292894532,0.12140231578591937
gabor_c6_DTD40h92,0.2065811780184736,0.8461256292894532,0.12140231578591937
gabor_c6_inv_DTD40h85,0.2065811780184736,0.8461256292894532,0.12140231578591937
gabor_c6_inv_DTD40h90,0.2065811780184736,0.8461256292894532,0.12140231578591937
gabor_c6_inv_DTD40h92,0.2065811780184736,0.8461256292894532,0.12140231578591937
gabor_raw_green_DTD50h85,0.2037551673193606,0.8717421898770177,0.12095103836242882
gabor_raw_green_DTD50h90,0.2037551673193606,0.8717421898770177,0.12095103836242882
gabor_raw_green_DTD50h92,0.2037551673193606,0.8717421898770177,0.12095103836242882
z_fuse_gabor2_DTD40h85,0.20110859495891964,0.8629081703030625,0.11765383121107573
z_fuse_gabor2_DTD40h90,0.20110859495891964,0.8629081703030625,0.11765383121107573
